"Original_name","Simplified_name","syn_name"
"Lathraea clandestina","Lathraea clandestina","Lathraea clandestina"
"Lathyrus occidentalis","Lathyrus occidentalis","Lathyrus occidentalis"
"Lithospermum purpurocaerulem","Lithospermum purpurocaerulem","Lithospermum purpurocaerulem"
"Luzula forsteri","Luzula forsteri","Luzula forsteri"
"Myosotis martini","Myosotis martini","Myosotis martini"
"Papaver cambricum","Papaver cambricum","Papaver cambricum"
"Phillyrea latifolia","Phillyrea latifolia","Phillyrea latifolia"
"Phyllitis scolopendrium","Phyllitis scolopendrium","Phyllitis scolopendrium"
"Phyllitis scolopendrium","Phyllitis scolopendrium","Phyllitis scolopendrium var. scolopendrium"
"Poa compresa","Poa compresa","Poa compresa"
"Potentilla montana","Potentilla montana","Potentilla montana"
"Pteridium aquilium","Pteridium aquilium","Pteridium aquilium"
"Pulmonaria affinis","Pulmonaria affinis","Pulmonaria affinis"
"Pulmonaria longifolia","Pulmonaria longifolia","Pulmonaria longifolia"
"Quercus faginea","Quercus faginea","Quercus faginea"
"Quercus pyrenaica","Quercus pyrenaica","Quercus pyrenaica"
"Ranunculus tuberosus","Ranunculus tuberosus","Ranunculus tuberosus"
"Rhamnus alaternus","Rhamnus alaternus","Rhamnus alaternus"
"Rubia peregrina","Rubia peregrina","Galium hispidulum"
"Rubia peregrina","Rubia peregrina","Bataprine hispidula"
"Rubia peregrina","Rubia peregrina","Galium carolinianum"
"Rubia peregrina","Rubia peregrina","Galium hispidum"
"Rubia peregrina","Rubia peregrina","Galium peregrina"
"Rubia peregrina","Rubia peregrina","Rubia brownei"
"Rubia peregrina","Rubia peregrina","Rubia peregrina"
"Rubia peregrina","Rubia peregrina","Rubia walteri"
"Rubia peregrina","Rubia peregrina","Galium peregrinum"
"Ruscus aculeatus","Ruscus aculeatus","Ruscus aculeatus"
"Salix atrocinerea","Salix atrocinerea","Salix oleifolia"
"Salix atrocinerea","Salix atrocinerea","Salix cinerea subsp. oleifolia"
"Salix atrocinerea","Salix atrocinerea","Salix cinerea subsp. atrocinerea"
"Scilla lilio-hyacinthus","Scilla lilio-hyacinthus","Scilla lilio-hyacinthus"
"Scrophularia alpestris","Scrophularia alpestris","Scrophularia alpestris"
"Scrophularia auriculata","Scrophularia auriculata","Scrophularia auriculata"
"Sison amomum","Sison amomum","Sison amomum"
"Tamus communis","Tamus communis","Tamus communis"
"Taraxacum officinale","Taraxacum officinale","Taraxacum kok-saghyz"
"Taraxacum officinale","Taraxacum officinale","Taraxacum vulgare"
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale subsp. vulgare"
"Taraxacum officinale","Taraxacum officinale","Taraxacum palustre var. vulgare"
"Thalictrum tuberosum","Thalictrum tuberosum","Thalictrum tuberosum"
"Valeriana pyrenaica","Valeriana pyrenaica","Valeriana pyrenaica"
"Veronica ponae","Veronica ponae","Veronica ponae"
"Viburnum tinus","Viburnum tinus","Viburnum tinus"
"Xanthium sp","Xanthium","Xanthium"
"Xeranthemum cylindraceum","Xeranthemum cylindraceum","Xeranthemum cylindraceum"
"Apium nodiflorum","Apium nodiflorum","Apium nodiflorum"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Brachypodium phoenicoides"
"Centaurea debeauxii","Centaurea debeauxii","Centaurea debeauxii"
"Hedera hibernica","Hedera hibernica","Hedera hibernica"
"Iris foetidissima","Iris foetidissima","Iris foetidissima"
"Lamium galeobdolon","Lamium galeobdolon","Lamium galeobdolon"
"Salix atrocinerea","Salix atrocinerea","Salix atrocinerea"
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale"
"Phyllitis scolopendrium","Phyllitis scolopendrium","Asplenium scolopendrium var. scolopendrium"
"Rubia peregrina","Rubia peregrina","Galium bermudense"
